,video_id,video_title,upload_date,view_count,like_count,comment_count
31,M-dT_0m4qhI,SQL interview: How many Twitch viewers became streamers?,2022-10-20,2727,87,5
32,rEaSskQhId4,[Part 1] How to Solve an Amazon Python Interview Question - The 3-Step Framework,2022-10-19,488,17,0
33,8IIryKHheYw,(Part 3) How to Formulate the Approach for Solving SQL Interview Questions,2022-10-18,218,4,0
34,yQSZT65WET4,A Python Coding Interview Question From Amazon,2022-10-13,1180,44,5
35,OMHbYrL09io,A/B Testing (A) Interview Questions or (B) for Data Scientists,2022-10-12,777,32,0
36,SGDchcWjaTA,(Part 2) Deepen Your Understanding of Data with These Simple Tips,2022-10-10,557,21,0
37,9av7jQ9MA44,A/B Testing Concepts To Know For Data Science,2022-10-06,2295,116,7
38,nh2nLDpxDFI,(Part 1) Meta SQL Interview Question: Identify the Popular Posts,2022-10-05,513,27,0
39,Q-3wvYInCeI,Meta SQL Interview Question - A Step-By-Step Solution,2022-09-29,3798,111,10
40,0cYfw5mWJ-E,How to Perform Data Analysis with Python for Freedom Debt Relief,2022-09-28,515,31,5
41,sVdNVgtpkD4,A Python Project to Solve Your Debt Problems,2022-09-22,5495,194,16
42,M4shTrIgXs0,3 Simple Steps to Solve Noom SQL Interview Questions,2022-09-21,436,13,1
43,5Lpbw71xR3o,Framework to Solve Noom Advanced SQL Interview Question,2022-09-15,2435,81,2
44,gtHI672Tlbw,DoorDash Medium Level SQL Interview Question,2022-09-08,741,26,2
45,DmUR2QSNUq8,DoorDash Data Science SQL Interview Question Walkthrough,2022-09-07,2542,73,8
46,OLG6_EHMhFk,The One Thing That Keeps Data Scientists Up-to-date,2022-08-31,686,53,4
47,0EoaJE3ePcE,Use STRING_AGG Function to Solve SQL Questions,2022-08-25,2877,123,4
48,JDOAcKTy9Mk,Top 5 Data Science Project Ideas in 2022 to Stay Up To Date as a Data Scientist,2022-08-18,3473,170,10
49,o8cFJmI50Dw,STRING_AGG Function to Solve Data Science Interview Questions,2022-08-11,1890,61,8
50,ggZzHnzYH1s,How To Use Python Window Functions | Solving Amazon Data Science Interview Question,2022-08-03,3319,131,8
51,8zeLdtkY2CQ,Data Science Mock Interview | Salesforce SQL Coding Interview Question,2022-06-17,6797,184,21
52,tnoOz6MzTPg,Python cumsum() | Solving Python Optimization Questions On a Data Science Interview,2022-05-11,2746,85,13
53,OzyHfddLj9g,How to Solve a SQL Interview Question Using WHERE amp; HAVING | PayPal Data Science Interview,2022-04-13,7771,161,12
54,jN5hpgBrz8k,Dealing With Python Date Manipulations In a Meta/Facebook Data Science Interview Question,2022-03-22,5713,169,20
55,yFyyP_Uvxj0,How To Solve Data Science Probability Interview Questions | Meta/Facebook Example,2022-03-10,4339,134,4
56,Av92CaPTRr8,How to use SQL window functions: RANK vs DENSE_RANK in Data Science Interviews,2022-03-02,5433,131,8
